Neuron name,Coordinates ,Root ID (synaptic connectivity),Root ID (contact analysis)
A1_L1,[160548  55409   4977],720575940621039145,720575940621039145
A1_L2,[161229  56723   4921],720575940637390424,720575940637390424
A1_L3,[159857  56701   5018],720575940618522433,720575940618522433
A1_R1,[105496  54286   5405],720575940613535430,720575940612001489
A1_R2,[105654  55604   5474],720575940621301738,720575940621301738
A2_L,[155842  69317   1498],720575940603183718,720575940638214461
A2_R,[103189  65009   1685],720575940618206854,720575940621749255
B1-1_L1,[155383  68155   1637],720575940637107315,720575940606551819
B1-1_L2,[154440  65207   1796],720575940635547113,720575940635547113
B1-1_L3,[153922  68380   1690],720575940629913169,720575940629913169
B1-1_L4,[158001  69225   1270],720575940609843865,720575940609843865
B1-1_L5,[156860  68596   1532],720575940622097959,720575940622097959
B1-1_L6,[156122  66164   1650],720575940625683176,720575940625683176
B1-1_R1,[105982  60513   2109],720575940630223052,720575940630223052
B1-1_R2,[105598  62033   2093],720575940611277293,720575940611277293
B1-1_R3,[106343  64669   2052],720575940623580453,720575940623508668
B1-1_R4,[104671  61966   1999],720575940623873052,720575940608987950
B1-1_R5,[104284  60515   1731],720575940607188036,720575940607188036
B1-1_R6,[105704  64095   2163],720575940606332629,720575940606332629
B1-2_L1,[159198  68123   1195],720575940627957719,720575940627957719
B1-2_L2,[156940  63189   1529],720575940628862027,720575940628862027
B1-2_L3,[156590  69949   1284],720575940632715359,720575940632715359
B1-2_L4,[156980  70743    924],720575940625449640,720575940620758221
B1-2_L5,[159058  64959   1270],720575940607371076,720575940607371076
B1-2_L6,[154715  66913   1757],720575940614450774,720575940614450774
B1-2_L7,[158321  62230   1328],720575940618758753,720575940618758753
B1-2_L8,[159883  64663   1029],720575940622428564,720575940622428564
B1-2_R1,[104375  63079   2127],720575940636679989,720575940636679989
B1-2_R2,[102946  65164   1864],720575940632653663,720575940612523571
B1-2_R3,[107076  61174   2112],720575940630185811,720575940630185811
