id,0.0,primary_type,additional_type(s),Neuropils,preference
720575940600433181,1,JO-B,,,
720575940600646173,1,JO-mz,,,
720575940602120928,2,CB1783,AVLP_pr36,AVLP_pr36,pulse
720575940602132509,1,JO-EVM,,,
720575940602309600,1,,,,
720575940602313952,3,CB1937,,,
720575940602337504,4,AN_AVLP_41,,,
720575940602353632,5,LB1a,,,
720575940602380768,1,CB1538,,,
720575940602382304,3,AN_GNG_SAD_13,,,
720575940602415584,1,WED031,,,
720575940602430944,3,AN_IPS_WED_1,,,
720575940602444512,3,AN_GNG_175,,,
720575940602483424,2,LC31b,LC31,,
720575940602506208,1,JO-EVM,,,
720575940602534112,3,DNge116,,,
720575940602618848,1,CB1881,,,
720575940602703072,3,AN_FLA_GNG_2,,,
720575940602718432,1,WED072,,,
720575940602720940,1,JO-CA,,,
720575940602879404,1,CB1066,,,
720575940602885344,3,cLP01,,,
720575940602891232,1,CB1638,,,
720575940602893228,1,AN_IPS_GNG_6,,,
720575940602914988,1,CB2364,AVLP_pr01,AVLP_pr01,sine
720575940602964140,1,SAD007,,,
720575940602974688,6,CB2377,,,
720575940603012832,3,LAL059,,,
720575940603029472,7,BM_InOm,,,
720575940603032748,1,CB1283,,,
720575940603077600,2,LC12,,,
720575940603123936,2,CB3861,"AVLP551, AVLP552",,
720575940603125216,1,WED013,,,
720575940603152998,2,WEDPN6B,WEDPN6C,,
720575940603167916,2,AVLP011,"AVLP012, aSP6",,
720575940603183840,7,BM_InOm,,,
720575940603186790,1,CB3234,"WED-VLP, aIP5",WED-VLP,intermediate
720575940603195494,1,CB3646,B1,B1,pulse
720575940603201452,3,PS202,,,
720575940603225312,2,LC17,,,
720575940603235500,3,CB1122,,,
720575940603266592,5,LB1b,,,
720575940603272038,2,LC18,,,
720575940603274272,2,LAL003,LAL044,,
720575940603331686,1,CL253,AVLP_pr05,AVLP_pr05,intermediate
720575940603352748,3,PS097,,,
720575940603374624,4,SA_DLV,,,
720575940603391404,8,LC6,,,
720575940603402412,8,LC12,,,
720575940603441632,3,CB0194,,,
720575940603452384,2,LC16,,,
720575940603453542,4,AN_AVLP_48,,,
720575940603456288,3,AN_GNG_92,,,
720575940603460640,6,AN_AVLP_2,,,
720575940603461478,9,,,,
720575940603479910,3,,,,
720575940603495340,8,LC13,,,
720575940603507302,1,CB2710,WEDPN8C,,
720575940603514141,3,CB0840,,,
720575940603516006,1,SA_DLV,,,
720575940603533246,1,WV-WV-3,,,
720575940603537766,1,AN_GNG_202,,,
720575940603538348,8,LC17,,,
720575940603545190,5,AN_GNG_47,,,
720575940603548640,1,CB1750,,,
720575940603549152,1,LAL132a,LAL132,,
720575940603552736,2,LC21,,,
720575940603565856,8,PLP188,PLP189,,
720575940603569836,1,CB3070,,,
720575940603574374,6,AN_AVLP_53,,,
720575940603578848,8,LC11,,,
720575940603580960,3,DNpe054,DNp16/17,,
720575940603591014,3,DNae004,DNa05,,
720575940603595366,6,AN_AVLP_25,,,
720575940603596972,8,LC44,,,
720575940603599206,3,AN_GNG_VES_8,,,
720575940603600230,3,AN_GNG_139,,,
720575940603609824,2,CB2049,,,
720575940603616800,1,CB2558,B1,B1,pulse
720575940603620268,4,CB2432,,,
720575940603622828,4,CB0955,,,
720575940603636913,1,CB1075,B1-3,B1,pulse
720575940603637438,1,LC4,,,
720575940603663276,1,CB1229,,,
720575940603667884,6,CB3858,,,
720575940603672032,8,LC18,,,
720575940603673056,4,IB015,,,
720575940603676448,2,SAD045,SAD046,,
720575940603683505,1,CB2253,AVLP_pr01,AVLP_pr01,sine
720575940603686624,1,CB1654,,,
720575940603692256,8,CB2433,AVLP_pr22,,
720575940603695025,1,CB1069,AVLP_pr22,,
720575940603708350,5,AN_SAD_FLA_1,,,
720575940603713248,4,AVLP550b,AVLP550,,
720575940603714272,1,CB1322,,,
720575940603719614,2,AVLP541a,AVLP541,,
720575940603720294,1,CB1235,,,
720575940603722412,8,AVLP051,,,
