,Flywire 2024 ID,Neuropils,preference,# imaged females,# responding females,prop females with auditory responses
0,720575940619783518,AVLP_pr01,sine,4,4,1.0
1,720575940620062633,AVLP_pr01,sine,4,4,1.0
2,720575940602914988,AVLP_pr01,sine,4,4,1.0
3,720575940620195719,AVLP_pr01,sine,4,4,1.0
4,720575940634508174,AVLP_pr01,sine,4,4,1.0
5,720575940628489516,AVLP_pr01,sine,4,4,1.0
6,720575940622065432,AVLP_pr01,sine,4,4,1.0
7,720575940631425965,AVLP_pr01,sine,4,4,1.0
8,720575940623987982,AVLP_pr01,sine,4,4,1.0
9,720575940629283659,AVLP_pr01,sine,4,4,1.0
10,720575940630353682,AVLP_pr01,sine,4,4,1.0
11,720575940627642818,AVLP_pr01,sine,4,4,1.0
12,720575940609014370,AVLP_pr01,sine,4,4,1.0
13,720575940626042499,AVLP_pr01,sine,4,4,1.0
14,720575940620929416,AVLP_pr01,sine,4,4,1.0
15,720575940603683505,AVLP_pr01,sine,4,4,1.0
16,720575940621713672,AVLP_pr01,sine,4,4,1.0
17,720575940607055061,AVLP_pr01,sine,4,4,1.0
18,720575940627709801,AVLP_pr01,sine,4,4,1.0
19,720575940644319796,AVLP_pr02,sine,4,4,1.0
20,720575940619583749,AVLP_pr02,sine,4,4,1.0
21,720575940636504553,AVLP_pr02,sine,4,4,1.0
22,720575940610558357,AVLP_pr02,sine,4,4,1.0
23,720575940630087542,AVLP_pr02,sine,4,4,1.0
24,720575940617390027,AVLP_pr02,sine,4,4,1.0
25,720575940632670434,AVLP_pr01,sine,4,4,1.0
26,720575940629513478,AVLP_pr04,pulse,5,4,0.8
27,720575940623113752,AVLP_pr04,pulse,5,4,0.8
28,720575940618477806,AVLP_pr05,intermediate,5,5,1.0
29,720575940617529669,AVLP_pr05,intermediate,5,5,1.0
30,720575940615798045,AVLP_pr05,intermediate,5,5,1.0
31,720575940617193009,AVLP_pr05,intermediate,5,5,1.0
32,720575940625839345,AVLP_pr05,intermediate,5,5,1.0
33,720575940603331686,AVLP_pr05,intermediate,5,5,1.0
34,720575940618048724,AVLP_pr05,intermediate,5,5,1.0
35,720575940629414201,AVLP_pr05,intermediate,5,5,1.0
36,720575940639494528,AVLP_pr05,intermediate,5,5,1.0
37,720575940629349340,AVLP_pr05,intermediate,5,5,1.0
38,720575940617943205,AVLP_pr05,intermediate,5,5,1.0
39,720575940624172290,AVLP_pr05,intermediate,5,5,1.0
40,720575940617842196,AVLP_pr05,intermediate,5,5,1.0
41,720575940612965791,AVLP_pr05,intermediate,5,5,1.0
42,720575940607049941,AVLP_pr05,intermediate,5,5,1.0
